add_on_code,product_code,rate_type,rate_value,min_si,max_si,max_payable,remarks
ADDT,SFSP,policy_rate,1.0,,,,
BRMK,SFSP,policy_rate,1.0,,,,
CLPC,SFSP,policy_rate,1.0,,,,
CMST,SFSP,per_mille,5.0,,,,
CNSM,SFSP,policy_rate,1.0,,,,
CPRA,SFSP,policy_rate,1.0,,,,
DCCC,SFSP,policy_rate,1.0,,,,
DLBD,SFSP,policy_rate,1.0,,,,
EFLM,SFSP,policy_rate,1.0,,,,
EXPC,SFSP,policy_rate,1.0,,,,
EXPE,SFSP,policy_rate,1.0,,,,
FFEX,SFSP,policy_rate,1.0,,,,
H72H,SFSP,policy_rate,1.0,,,,
HPLE,SFSP,policy_rate,1.0,,,,
INVB,SFSP,policy_rate,1.0,,,,
LKCT,SFSP,policy_rate,1.0,,,,
LPCL,SFSP,policy_rate,1.0,,,,
MLIN,SFSP,policy_rate,1.0,,,,
MMCL,SFSP,per_mille,0.65,,,,
NOIV,SFSP,policy_rate,1.0,,,,
OBSP,SFSP,policy_rate,1.0,,,,
OEMC,SFSP,policy_rate,1.0,,,,
ONAC,SFSP,policy_rate,1.0,,,,
OUPI,SFSP,policy_rate,1.0,,,,
PLDC,SFSP,policy_rate,1.0,,,,
RFDB,SFSP,policy_rate,1.0,,,,
SHSC,SFSP,policy_rate,1.0,,,,
UMPR,SFSP,policy_rate,1.0,,,,
VHLC,SFSP,policy_rate,1.0,,,,
WAIV,SFSP,policy_rate,1.0,,,,
ADDT,IAR,policy_rate,1.0,,,,
BRMK,IAR,policy_rate,1.0,,,,
CLPC,IAR,policy_rate,1.0,,,,
CMST,IAR,per_mille,5.0,,,,
CNSM,IAR,policy_rate,1.0,,,,
CPRA,IAR,policy_rate,1.0,,,,
DCCC,IAR,policy_rate,1.0,,,,
DLBD,IAR,policy_rate,1.0,,,,
EFLM,IAR,policy_rate,1.0,,,,
EXPC,IAR,policy_rate,1.0,,,,
EXPE,IAR,policy_rate,1.0,,,,
FFEX,IAR,policy_rate,1.0,,,,
H72H,IAR,policy_rate,1.0,,,,
HPLE,IAR,policy_rate,1.0,,,,
INVB,IAR,policy_rate,1.0,,,,
LKCT,IAR,policy_rate,1.0,,,,
LPCL,IAR,policy_rate,1.0,,,,
MLIN,IAR,policy_rate,1.0,,,,
MMCL,IAR,per_mille,0.65,,,,
NOIV,IAR,policy_rate,1.0,,,,
OBSP,IAR,policy_rate,1.0,,,,
OEMC,IAR,policy_rate,1.0,,,,
ONAC,IAR,policy_rate,1.0,,,,
OUPI,IAR,policy_rate,1.0,,,,
PLDC,IAR,policy_rate,1.0,,,,
RFDB,IAR,policy_rate,1.0,,,,
SHSC,IAR,policy_rate,1.0,,,,
UMPR,IAR,policy_rate,1.0,,,,
VHLC,IAR,policy_rate,1.0,,,,
WAIV,IAR,policy_rate,1.0,,,,
ACDM,BLUSP,per_mille,0.01,,,,
BRMK,BLUSP,policy_rate,1.0,,,,
CMST,BLUSP,policy_rate,1.0,,,,
DBRM,BLUSP,per_mille,12.5,,,,of composite rate
DSMB,BLUSP,policy_rate,1.0,,,,
DSPF,BLUSP,policy_rate,1.0,,,,
EFLM,BLUSP,policy_rate,1.0,,,,
ESCL,BLUSP,policy_rate,0.5,,,,
EXPE,BLUSP,policy_rate,1.0,,,,
FFEX,BLUSP,policy_rate,1.0,,,,
IAER,BLUSP,policy_rate,1.0,,,,
IMRP,BLUSP,policy_rate,1.0,,,,
INVB,BLUSP,policy_rate,1.0,,,,
LKCT,BLUSP,policy_rate,1.0,,,,
LREN,BLUSP,policy_rate,1.0,,,,
SPMD,BLUSP,policy_rate,1.0,,,,
VHLC,BLUSP,policy_rate,1.0,,,,
ACDM,BSUSP,per_mille,0.01,,,,
BRMK,BSUSP,policy_rate,1.0,,,,
CMST,BSUSP,policy_rate,1.0,,,,
DBRM,BSUSP,per_mille,12.5,,,,of composite rate
DSMB,BSUSP,policy_rate,1.0,,,,
DSPF,BSUSP,policy_rate,1.0,,,,
EFLM,BSUSP,policy_rate,1.0,,,,
ESCL,BSUSP,policy_rate,0.5,,,,
EXPE,BSUSP,policy_rate,1.0,,,,
FFEX,BSUSP,policy_rate,1.0,,,,
IAER,BSUSP,policy_rate,1.0,,,,
IMRP,BSUSP,policy_rate,1.0,,,,
INVB,BSUSP,policy_rate,1.0,,,,
LKCT,BSUSP,policy_rate,1.0,,,,
LREN,BSUSP,policy_rate,1.0,,,,
SPMD,BSUSP,policy_rate,1.0,,,,
VHLC,BSUSP,policy_rate,1.0,,,,
ACDM,VUSP,per_mille,0.01,,,,
BRMK,VUSP,policy_rate,1.0,,,,
CMST,VUSP,policy_rate,1.0,,,,
DBRM,VUSP,per_mille,12.5,,,,of composite rate
DSMB,VUSP,policy_rate,1.0,,,,
DSPF,VUSP,policy_rate,1.0,,,,
EFLM,VUSP,policy_rate,1.0,,,,
ESCL,VUSP,policy_rate,0.5,,,,
EXPE,VUSP,policy_rate,1.0,,,,
FFEX,VUSP,policy_rate,1.0,,,,
IAER,VUSP,policy_rate,1.0,,,,
IMRP,VUSP,policy_rate,1.0,,,,
INVB,VUSP,policy_rate,1.0,,,,
LKCT,VUSP,policy_rate,1.0,,,,
LREN,VUSP,policy_rate,1.0,,,,
SPMD,VUSP,policy_rate,1.0,,,,
VHLC,VUSP,policy_rate,1.0,,,,
ALAC,BGRP,per_mille,0.15,,,,
LREN,BGRP,per_mille,0.15,,,,
PASL,BGRP,flat,7.0,,,,
PASP,BGRP,flat,7.0,,,,
VLIT,BGRP,per_mille,0.15,,,,
ALAC,UVGS,per_mille,0.15,,,,
LREN,UVGS,per_mille,0.15,,,,
PASL,UVGS,flat,7.0,,,,
PASP,UVGS,flat,7.0,,,,
VLIT,UVGS,per_mille,0.15,,,,
