iib_code,stfi_rate
1001,0.22
1001_2,0.22
1002,0.22
1003,0.22
1004,0.22
1005,0.22
1006,0.22
1007,0.22
1008,0.22
1009,0.22
1010,0.22
1011,0.22
1012,0.22
1013,0.22
1014,0.22
1015,0.22
1016,0.22
1029,0.22
1017,0.22
1018,0.22
1019,0.22
1020,0.22
1021,0.22
1022,0.22
1023,0.22
1024,0.22
1025,0.22
1026,0.22
1027,0.22
1028,0.22
2001,0.37
2002,0.37
2003,0.37
2004,0.37
2005,0.37
2006,0.37
2007,0.37
2008,0.37
2009,0.37
2010,0.37
2011,0.37
2012,0.37
2013,0.37
2212,0.37
2014,0.37
2015,0.37
2016,0.37
2017,0.37
2018,0.37
2019,0.37
2020,0.37
2021,0.37
2022,0.37
2023,0.37
2024,0.37
2025,0.37
2026,0.37
2027,0.37
2028,0.37
2029,0.37
2030,0.37
2031,0.37
2032,0.37
2033,0.37
2034,0.37
2035,0.37
2036,0.37
2037,0.37
2038,0.37
2039,0.37
2040,0.37
2041,0.37
2042,0.37
2043,0.37
2044,0.37
2045,0.37
2046,0.37
2047,0.37
2048,0.37
2049,0.37
2050,0.37
2051,0.37
2229,0.37
2230,0.37
2052,0.37
2053,0.37
2054,0.37
2055,0.37
2213,0.37
2056,0.37
2057,0.37
2058,0.37
2059,0.37
2060,0.37
2061,0.37
2209,0.37
2062,0.37
2063,0.37
2064,0.37
2065,0.37
2066,0.37
2067,0.37
2068,0.37
2069,0.37
2070,0.37
2210,0.37
2220,0.37
2217,0.37
2218,0.37
2219,0.37
2221,0.37
2071,0.37
2072,0.37
2073,0.37
2074,0.37
2075,0.37
2222,0.37
2223,0.37
2224,0.37
2225,0.37
2226,0.37
2227,0.37
2076,0.37
2228,0.37
2077,0.37
2078,0.37
2079,0.37
2080,0.37
2081,0.37
2082,0.37
2083,0.37
2084,0.37
2085,0.37
2086,0.37
2087,0.37
2088,0.37
2089,0.37
2090,0.37
2091,0.37
2092,0.37
2093,0.37
2094,0.37
2095,0.37
2096,0.37
2097,0.37
2098,0.37
2099,0.37
2100,0.37
2101,0.37
2102,0.37
2103,0.37
2104,0.37
2105,0.37
2106,0.37
2107,0.37
2108,0.37
2109,0.37
2110,0.37
2111,0.37
2112,0.37
2113,0.37
2114,0.37
2115,0.37
2116,0.37
2117,0.37
2118,0.37
2119,0.37
2120,0.37
2121,0.37
2122,0.37
2123,0.37
2124,0.37
2125,0.37
2126,0.37
2127,0.37
2128,0.37
2129,0.37
2130,0.37
2131,0.37
2132,0.37
2214,0.37
2133,0.37
2134,0.37
2135,0.37
2136,0.37
2137,0.37
2138,0.37
2139,0.37
2140,0.37
2141,0.37
2142,0.37
2143,0.37
2144,0.37
2231,0.37
2145,0.37
2146,0.37
2147,0.37
2148,0.37
2216,0.37
2149,0.37
2150,0.37
2151,0.37
2152,0.37
2153,0.37
2154,0.37
2155,0.37
2156,0.37
2157,0.37
2158,0.37
2159,0.37
2160,0.37
2161,0.37
2162,0.37
2163,0.37
2232,0.37
2164,0.37
2165,0.37
2166,0.37
2167,0.37
2168,0.37
2169,0.37
2170,0.37
2171,0.37
2172,0.37
2173,0.37
2174,0.37
2175,0.37
2176,0.37
2177,0.37
2178,0.37
2180,0.37
2181,0.37
2183,0.37
2184,0.37
2185,0.37
2186,0.37
2187,0.37
2188,0.37
2189,0.37
2211,0.37
2190,0.37
2191,0.37
2192,0.37
2193,0.37
2194,0.37
2195,0.37
2196,0.37
2197,0.37
2198,0.37
2199,0.37
2200,0.37
2201,0.37
2202,0.37
2203,0.37
2204,0.37
2205,0.37
2206,0.37
2207,0.37
2208,0.37
4900,0.37
3001,0.37
3002,0.37
3003,0.37
3004,0.37
3005,0.37
3006,0.52
3007,0.52
3008,0.52
3009,0.37
3010,0.37
3011,0.52
3012,0.52
3013,0.37
3014,0.37
3015,0.37
3016,0.37
3017,0.37
3018,0.37
3019,0.37
4001,0.52
4012,2.25
4002,0.52
4013,2.25
4019,2.25
4003,0.52
4014,2.25
4018,0.52
4004,0.52
4015,2.25
4005,0.52
4016,2.25
4006,0.52
4017,2.25
4007,0.37
4008,0.37
4009,0.37
4010,0.37
4011,0.37
